Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,10842.650391,10877.900391,10823.099609,10863.500000,10863.500000,308500
2019-03-05,10864.849609,10994.900391,10817.000000,10987.450195,10987.450195,373200
2019-03-06,11024.849609,11062.299805,10998.849609,11053.000000,11053.000000,372600
2019-03-07,11077.950195,11089.049805,11027.099609,11058.200195,11058.200195,321200
2019-03-08,11038.849609,11049.000000,11008.950195,11035.400391,11035.400391,326600
2019-03-11,11068.750000,11180.900391,11059.849609,11168.049805,11168.049805,352200
2019-03-12,11231.349609,11320.400391,11227.000000,11301.200195,11301.200195,391300
2019-03-13,11326.200195,11352.299805,11276.599609,11341.700195,11341.700195,383000
2019-03-14,11382.500000,11383.450195,11313.750000,11343.250000,11343.250000,294500
2019-03-15,11376.849609,11487.000000,11370.799805,11426.849609,11426.849609,463700
2019-03-18,11473.849609,11530.150391,11412.500000,11462.200195,11462.200195,320300
2019-03-19,11500.299805,11543.849609,11451.250000,11532.400391,11532.400391,326100
2019-03-20,11553.349609,11556.099609,11503.099609,11521.049805,11521.049805,366300
2019-03-22,11549.200195,11572.799805,11434.549805,11456.900391,11456.900391,386200
2019-03-25,11395.650391,11395.650391,11311.599609,11354.250000,11354.250000,294500
2019-03-26,11375.200195,11496.750000,11352.450195,11483.250000,11483.250000,282600
2019-03-27,11531.450195,11546.200195,11413.000000,11445.049805,11445.049805,350400
2019-03-28,11463.650391,11588.500000,11452.450195,11570.000000,11570.000000,527700
2019-04-01,11665.200195,11738.099609,11644.750000,11669.150391,11669.150391,379600
2019-04-02,11711.549805,11729.349609,11655.849609,11713.200195,11713.200195,386100
2019-04-03,11735.299805,11761.000000,11629.150391,11643.950195,11643.950195,365800
2019-04-04,11660.200195,11662.549805,11559.200195,11598.000000,11598.000000,349000
2019-04-05,11638.400391,11689.650391,11609.500000,11665.950195,11665.950195,266700
2019-04-08,11704.349609,11710.299805,11549.099609,11604.500000,11604.500000,260900
2019-04-09,11612.049805,11683.900391,11569.700195,11671.950195,11671.950195,300500
2019-04-10,11646.849609,11680.049805,11571.750000,11584.299805,11584.299805,359900
2019-04-11,11592.549805,11606.700195,11550.549805,11596.700195,11596.700195,279800
2019-04-12,11612.849609,11657.349609,11578.799805,11643.450195,11643.450195,246000
2019-04-15,11667.000000,11704.599609,11648.250000,11690.349609,11690.349609,290000
2019-04-16,11736.200195,11810.950195,11731.549805,11787.150391,11787.150391,354300
2019-04-18,11856.150391,11856.150391,11738.500000,11752.799805,11752.799805,339700
2019-04-22,11727.049805,11727.049805,11583.950195,11594.450195,11594.450195,260400
2019-04-23,11612.950195,11645.950195,11564.799805,11575.950195,11575.950195,272500
2019-04-24,11601.500000,11740.849609,11578.849609,11726.150391,11726.150391,335200
2019-04-25,11735.700195,11796.750000,11624.299805,11641.799805,11641.799805,604400
2019-04-26,11683.750000,11762.900391,11661.750000,11754.650391,11754.650391,333500
2019-04-30,11748.750000,11756.250000,11655.900391,11748.150391,11748.150391,532600
2019-05-02,11725.549805,11789.299805,11699.549805,11724.750000,11724.750000,380300
2019-05-03,11722.599609,11770.900391,11699.349609,11712.250000,11712.250000,305500
2019-05-06,11605.799805,11632.549805,11571.349609,11598.250000,11598.250000,299000
2019-05-07,11651.500000,11657.049805,11484.450195,11497.900391,11497.900391,337500
2019-05-08,11478.700195,11479.099609,11346.950195,11359.450195,11359.450195,372800
2019-05-09,11322.400391,11357.599609,11255.049805,11301.799805,11301.799805,373000
2019-05-10,11314.150391,11345.799805,11251.049805,11278.900391,11278.900391,387300
2019-05-13,11258.700195,11300.200195,11125.599609,11148.200195,11148.200195,357600
2019-05-14,11151.650391,11294.750000,11108.299805,11222.049805,11222.049805,398100
2019-05-15,11271.700195,11286.799805,11136.950195,11157.000000,11157.000000,414200
2019-05-16,11180.349609,11281.549805,11143.349609,11257.099609,11257.099609,350700
2019-05-17,11261.900391,11426.150391,11259.849609,11407.150391,11407.150391,412100
